Decision Type,Keywords,Characteristics,Recommended Frameworks,Analysis Methods,Common Pitfalls,Warning Signs,Example Scenarios
Binary Choice,"binary, yes no, either or, two options, go no-go, accept reject, A or B",Two clear options. Often seems simple but may hide complexity. The key risk is that the choice is framed too narrowly.,"Pros-Cons-Fixes, Pre-Mortem Decision Test","Break-Even Analysis, Pre-Mortem Analysis",False binary — forcing two options when more exist. Not questioning whether the framing itself is correct.,Someone says 'we either do X or we don't'. Only two options on the table. No exploration of alternatives.,Accept or reject a job offer. Go or no-go on a product launch. Acquire or pass on a target company.
Multi-Option Selection,"multiple options, comparison, evaluate, choose between, selection, several alternatives, ranking",Three or more options to evaluate. Needs structured comparison framework. Risk of choice overload without filtering.,"Weighted Criteria Matrix, Logic Tree Option Decomposition","Relative Value Scoring, Sensitivity Analysis",Choice overload — too many options without filtering. Comparing on inconsistent criteria. Anchoring to the first option evaluated.,More than 5 options without clear criteria. Team members advocating different options without shared evaluation framework.,Selecting a CRM platform from 6 vendors. Choosing between 4 office locations. Picking a technology stack from multiple alternatives.
Resource Allocation,"resource, allocation, budget, distribute, prioritize, funding, investment, capacity, headcount, limited","Distributing limited resources (budget, time, people) across competing priorities. Not either/or but how much for each.","Expected Value Calculation, Sensitivity Analysis Decision","Expected Value Calculation, Opportunity Cost Assessment, Break-Even Analysis",Peanut butter spreading — dividing equally instead of prioritizing. Sunk cost trap — allocating based on past investment not future value.,Budget splits look identical to last year. Every team gets the same percentage. No explicit prioritization framework used.,Allocating R&D budget across 5 product lines. Distributing marketing spend across channels. Assigning engineering capacity to features.
Strategic Direction,"strategic, long-term, direction, vision, mission, pivot, transformation, irreversible, high-impact, future","Long-term, high-impact, often irreversible. Shapes future option space. Requires deep analysis and stakeholder alignment.","Scenario Planning Matrix, Hypothesis-Driven Decision Tree","Scenario Analysis, Decision Tree Analysis, Reference Class Forecasting",Analysis paralysis — over-analyzing when decisive action is needed. Consensus-seeking that produces lowest-common-denominator strategy.,Decision has been discussed for months without resolution. Multiple strategy consultants involved. The decision will be very difficult to reverse.,Entering a new geographic market. Pivoting business model from B2C to B2B. Major technology platform migration. M&A decisions.
Operational / Tactical,"operational, tactical, short-term, execution, process, workflow, reversible, optimization, incremental","Short-term, lower-impact, typically reversible. Optimize within existing strategy. Speed of decision often matters more than perfection.","Reversibility Filter, Iterative Hypothesis Testing","Break-Even Analysis, Relative Value Scoring",Over-engineering — applying heavy frameworks to lightweight decisions. Escalating decisions that should be made locally.,Decision affects only the next 1-3 months. Easy to change course if wrong. Low cost of being wrong.,Choosing a meeting schedule. Selecting a project management tool. Deciding sprint priorities. Setting a pricing experiment.
Decision Under Uncertainty,"uncertainty, unknown, ambiguous, incomplete data, risk, probability, unknown unknowns, volatile",Key variables are unknown or unknowable. Must decide despite incomplete data. The quality of the decision process matters more than the outcome.,"Scenario Planning Matrix, Expected Value Calculation, Iterative Hypothesis Testing","Scenario Analysis, Bayesian Update Protocol, Reference Class Forecasting",False precision — pretending you have more certainty than you do. Waiting for perfect information that will never arrive.,Key assumptions are unverifiable. Experts disagree significantly. Historical data is limited or non-existent.,Launching a product in an unproven market. Investing in emerging technology. Navigating regulatory uncertainty. Planning for post-crisis recovery.
Group / Stakeholder Decision,"group, stakeholder, team, consensus, alignment, politics, committee, board, collaborative, multi-party","Multiple people with different interests, information, and authority must align. Communication and facilitation matter as much as analysis.","Pre-Mortem Decision Test, Weighted Criteria Matrix","Pre-Mortem Analysis, Relative Value Scoring",Groupthink — premature consensus without challenging assumptions. HIPPO effect — highest-paid person's opinion dominates.,Multiple stakeholders with competing priorities. Decision requires buy-in from people with different incentives. Political dynamics are significant.,Board deciding on strategic direction. Cross-functional team selecting a vendor. Partnership negotiations. Organizational restructuring decisions.
Time-Pressured Decision,"urgent, deadline, time pressure, fast, speed, window, time-sensitive, rapid, crisis",Deadline forces decision before ideal analysis is complete. Must optimize the trade-off between decision speed and decision quality.,"Reversibility Filter, Pros-Cons-Fixes Analysis","Pre-Mortem Analysis, Opportunity Cost Assessment",Premature closure — deciding too fast without sufficient consideration. OR delay — missing the window by seeking more information.,External deadline is immutable. Competitor action forces response. Opportunity window is closing. Crisis requires immediate action.,Responding to a competitor announcement. Crisis management decisions. Time-limited acquisition opportunity. Emergency resource reallocation.
Personal Life Decision,"personal, life, career, health, family, relationship, travel, work-life, balance, wellbeing, lifestyle, self-development, experience, fulfillment","Decisions about personal life — career transitions, health priorities, relationship investments, travel experiences, lifestyle design. Requires balancing emotional fulfillment with practical constraints. Often involves values clarification rather than pure analysis.","Pros-Cons-Fixes Analysis, Scenario Planning Matrix","Opportunity Cost Assessment, Pre-Mortem Analysis","Optimizing only for money or career. Ignoring emotional and relational impact. Applying pure business logic to deeply personal choices. Decision paralysis from trying to optimize everything.",Decision feels emotional rather than logical. Multiple life domains in tension (work vs family vs health). The decision reflects who you want to become rather than just what to do.,Whether to take a sabbatical to travel. Relocating for lifestyle vs career. Prioritizing health investment. Choosing between more income or more time freedom. Starting a passion project.
Innovation Bet / AI-First Project,"innovation, AI, AI-first, AI-native, agentic, vibe coding, experiment, emerging tech, R&D, new product, side project, startup idea, digital product, automation, agent, MVP","Evaluating whether to invest in an innovative or AI-first project — vibe-coded apps, agentic AI tools, AI-native marketing/operations/media products. High uncertainty with potentially asymmetric upside. Requires portfolio thinking rather than single-bet analysis.","Iterative Hypothesis Testing, Reversibility Filter, Expected Value Calculation","Scenario Analysis, Reference Class Forecasting, Break-Even Analysis","Building because you can not because market wants it. Spending too long on R&D before market validation. Confusing AI capability with product-market fit. Sunk cost on failing experiments. Shiny Object Syndrome — starting many AI projects finishing none.",No clear precedent or reference class. Technology is evolving faster than market adoption. The project could be transformational or worthless. Team excitement is high but market signal is weak.,Building an AI marketing agent for SMBs. Creating a vibe-coded SaaS tool. Investing in agentic workflow automation. Launching an AI-native content platform. Evaluating whether to build vs use existing AI tools.
Exit / Continuation Decision,"exit, sell, merge, IPO, wind down, continue, pivot, shut down, acqui-hire, succession, transition","Whether to exit a business (sell, merge, IPO) or continue operating. Involves emotional attachment, financial optimization, and lifestyle considerations. One of the hardest founder decisions because identity is tied to the business.","Hypothesis-Driven Decision Tree, Scenario Planning Matrix","Expected Value Calculation, Opportunity Cost Assessment, Pre-Mortem Analysis","IKEA Effect — overvaluing what you built. Sunk cost — staying because of past investment. Identity fusion — can't separate self-worth from business. Fear of what comes next. Not considering that selling early at a good price may beat holding for an uncertain 5x.",The opportunity cost of staying is higher than the opportunity cost of leaving. The business is growing but the founder is not. An acquisition offer is on the table. Burnout is real but the business seems too valuable to leave.,Evaluating an acquisition offer. Deciding whether to raise Series A or sell. Considering shutting down a side project. Planning founder succession. Merging with a competitor.
Portfolio / Investment Decision,"portfolio, investment, asset allocation, angel, startup investing, real estate, stocks, crypto, diversification, returns, passive income, side investment","Allocating personal capital across investment opportunities — angel investing, real estate, public markets, crypto, business acquisitions. Requires portfolio thinking: diversification, risk tolerance, and time horizon matter more than any single bet.","Expected Value Calculation, Sensitivity Analysis Decision","Risk-Reward Matrix, Opportunity Cost Assessment, Reference Class Forecasting","Concentrating too heavily in one asset (especially own business). FOMO-driven investing in trendy assets. Not distinguishing investing from speculating. Ignoring correlation between investments. Letting tax tail wag the investment dog.",Multiple opportunities competing for limited capital. Need to balance liquid and illiquid investments. Emotional attachment to specific investments. Risk tolerance unclear or untested.,Deciding between investing in real estate or angel deals. Allocating between crypto, stocks, and business reinvestment. Whether to angel invest in a friend's startup. Building a passive income portfolio alongside active business.
