Technique,Category,Keywords,Description,When to Use,Inputs Required,How to Apply,Output Format,Strengths,Limitations,Complexity
Sensitivity Analysis,quantitative,"sensitivity, tornado chart, assumption testing, variable impact, what-if, robustness, key drivers",Systematically varies each input assumption to determine which ones most affect the decision outcome. Reveals decision drivers and noise.,When the decision depends on uncertain assumptions and you need to know which ones actually matter,"Key variables, plausible range for each variable, a decision model or scoring framework",1. Identify key input variables. 2. Define plausible range (low-base-high) for each. 3. Vary one variable at a time while holding others at base. 4. Record impact on decision outcome. 5. Rank variables by impact magnitude. 6. Focus resources on high-impact uncertain variables.,Tornado chart showing which variables have the most impact on the decision; sensitivity table with breakpoints,Reveals what matters most; prevents over-analysis of non-sensitive inputs; builds decision confidence,Assumes variables are independent; one-at-a-time variation misses interaction effects; requires quantifiable model,Medium
Break-Even Analysis,quantitative,"break-even, threshold, payback, minimum viable, go no-go, investment threshold, return",Calculates the point at which an option becomes viable — the minimum performance needed to justify the investment.,Evaluating go/no-go investment decisions or comparing options with different cost structures,"Fixed costs, variable costs per unit, revenue or value per unit, time horizon",1. Identify all fixed costs of the option. 2. Identify variable costs per unit of activity. 3. Identify value generated per unit. 4. Calculate: break-even = fixed costs / (value per unit - variable cost per unit). 5. Assess plausibility of reaching break-even. 6. Calculate margin of safety.,Break-even point (units or time); margin of safety; payback period chart,Simple and clear; communicates viability threshold; helps set minimum success criteria,Assumes linear relationships; may oversimplify complex cost structures; ignores qualitative factors,Low
Decision Tree Analysis,quantitative,"decision tree, sequential choices, probability branches, expected value, optimal path, nodes, payoff","Maps sequential decision points and chance events as a tree, assigns probabilities and payoffs to branches, calculates optimal path.",When the decision involves sequential choices with probabilistic outcomes at each stage,"Decision points, possible outcomes at each point, probability estimates, payoff values for terminal nodes",1. Draw decision nodes (squares) and chance nodes (circles). 2. Add branches for each option/outcome. 3. Assign probabilities to chance branches (must sum to 1.0). 4. Assign payoff values to terminal nodes. 5. Calculate expected value by rolling back from terminal nodes. 6. Choose the path with highest expected value.,Decision tree diagram; expected value for each path; recommended action at each node,Handles sequential decisions; makes probabilities and payoffs explicit; visual and communicable; handles option value,Quickly becomes complex with many branches; requires probability estimates; assumes rational decision-maker,High
Scenario Analysis,qualitative,"scenario, futures, external uncertainty, environment, robustness, what-if world, plausible futures","Evaluates how each option performs under multiple plausible future scenarios, testing robustness rather than optimizing for one forecast.",When multiple external uncertainties interact and the future environment is genuinely unknowable,"2-3 key external uncertainties, 2-3 plausible values for each, options to evaluate",1. Identify 2-3 key external uncertainties. 2. Build scenario matrix from combinations. 3. Name and describe each scenario. 4. Evaluate each option under each scenario. 5. Identify which options are robust (perform well across scenarios). 6. Develop contingency plans for adverse scenarios.,Scenario matrix table; option performance across scenarios; robustness ranking,Handles deep uncertainty; avoids overcommitment to single forecast; builds preparedness,Subjective scenario selection; does not assign probabilities; can generate too many combinations,Medium
Relative Value Scoring,hybrid,"relative scoring, comparison, criteria-based, normalized, weighted, multi-criteria, ranking","Scores options against criteria on a standardized scale, applies weights, and produces a transparent ranking.",Comparing 3+ options across incommensurable criteria where a transparent ranking is needed,"Options list, evaluation criteria, weight per criterion, scoring rubric (1-5 scale)",1. Define criteria and weights (sum to 100). 2. Create scoring rubric (what does 1-5 mean for each criterion). 3. Score each option independently on each criterion. 4. Calculate weighted score per option. 5. Rank by total weighted score. 6. Perform sensitivity check on weights.,Scoring matrix with weighted totals; ranked option list; sensitivity notes,Transparent and repeatable; handles diverse criteria; facilitates group alignment; auditable,Precision can be illusory; weight selection is subjective; scores depend on rubric quality,Medium
Opportunity Cost Assessment,qualitative,"opportunity cost, forgone alternatives, true cost, what else, trade-off, next best alternative, sacrifice",Evaluates the true cost of choosing an option by explicitly measuring what is sacrificed — the value of the next-best alternative.,When choosing one option means forgoing others that have significant value,"All viable options, value estimates for each, constraints that force trade-offs",1. List all viable options. 2. Estimate the value/benefit of each. 3. Identify which options become unavailable if you choose each one. 4. Calculate opportunity cost = value of best forgone alternative. 5. True cost = direct cost + opportunity cost. 6. Compare options on total cost basis.,"Opportunity cost table showing direct cost, forgone value, and total cost for each option",Reveals hidden costs; prevents narrow framing; forces consideration of alternatives; improves resource allocation,Value of alternatives may be hard to estimate; can create decision fatigue; not all forgone options are clear,Low
Risk-Reward Matrix,hybrid,"risk-reward, probability of success, impact, 2x2 matrix, risk profile, upside downside, positioning",Positions each option on a 2x2 matrix of probability of success (x-axis) vs. magnitude of reward (y-axis). Reveals risk-adjusted option positioning.,When options have distinctly different risk profiles and you need a visual comparison,"Each option's estimated probability of success and magnitude of reward/impact, plus downside risk","1. List all options. 2. Estimate probability of success for each (0-100%). 3. Estimate magnitude of reward if successful. 4. Plot on 2x2 matrix. 5. Categorize: high-prob/high-reward (do first), high-prob/low-reward (easy wins), low-prob/high-reward (strategic bets), low-prob/low-reward (avoid). 6. Select based on risk appetite.",2x2 matrix with options positioned; quadrant labels; recommended priority order,Visual and intuitive; enables portfolio thinking; quick to create; good for communication,Two-dimensional simplification; probability estimates may be unreliable; ignores correlation between options,Low
Bayesian Update Protocol,quantitative,"bayesian, prior probability, posterior, evidence update, likelihood, new information, belief revision","Formally updates probability estimates when new evidence arrives during the decision process, preventing both over-reaction and under-reaction.",When new evidence arrives during the decision process and you need to update beliefs rationally,"Prior probability estimate for each option, new evidence, likelihood of evidence under each hypothesis",1. State prior probabilities for each option being correct. 2. New evidence arrives. 3. Ask: How likely is this evidence if Option A is correct? If Option B? 4. Apply Bayes rule: Posterior = (Likelihood x Prior) / Evidence. 5. Update probabilities. 6. Check if new probabilities change the decision.,Updated probability table; decision shift analysis; confidence change log,Rational evidence integration; prevents overreaction to single data points; cumulative learning; tracks belief evolution,Requires probability estimates; computationally involved for many options; prior selection is subjective,High
Pre-Mortem Analysis,qualitative,"pre-mortem, prospective hindsight, failure analysis, risk identification, blind spots, assume failure, what could go wrong","Assumes the decision has already been made and failed. Participants work backward to identify what went wrong, surfacing risks invisible in forward-looking analysis.",Before committing to a high-stakes or irreversible decision where hidden risks could be catastrophic,"Proposed decision, team of 3-12 people, 30-60 minutes",1. State the proposed decision. 2. Fast-forward: imagine it is 12 months later and the decision failed spectacularly. 3. Each person independently writes what went wrong. 4. Share all failure modes. 5. Categorize by likelihood and severity. 6. Develop mitigation plans for high-risk items.,"Ranked list of failure modes with likelihood, severity, and mitigation plans",Surfaces hidden risks; overcomes optimism bias; psychologically safe; works well in groups; simple to facilitate,Can be demoralizing if overused; may generate unlikely risks; depends on honest participation,Low
Reference Class Forecasting,meta-analysis,"reference class, base rate, outside view, historical comparison, similar decisions, prediction accuracy, anchoring to data","Predicts outcomes by comparing the current decision to a reference class of similar past decisions, using actual outcomes rather than inside-view estimates.","When estimating costs, timelines, or outcomes of a chosen option where similar past decisions exist","Identification of similar past decisions, their actual outcomes, adjustments for material differences","1. Identify reference class (similar past decisions). 2. Gather actual outcome data (cost, time, success rate). 3. Calculate distribution (mean, range). 4. Identify where current decision sits relative to class. 5. Adjust for material differences. 6. Use reference class prediction as baseline, not inside-view estimate.",Base rate prediction; confidence interval from reference class; comparison to inside-view estimate; adjustment rationale,Counters planning fallacy; grounded in real data; simple to explain; highly accurate in aggregate,Requires finding truly comparable decisions; reference class selection is subjective; unique situations may lack reference class,Medium
