Framework,Category,Keywords,Description,When to Use,Steps,Strengths,Limitations,Best For,Complexity
Hypothesis-Driven Decision Tree,hypothesis-driven,"hypothesis, day one answer, evidence, testing, iterative, structured, strategic","Form a Day One answer (initial hypothesis), decompose into testable sub-hypotheses, gather evidence to confirm or refute, then refine. Avoids boiling-the-ocean analysis by focusing on what matters.",Complex strategic decisions with incomplete information where exhaustive analysis is impractical,"1. State your Day One answer (best current hypothesis). 2. Decompose into 3-5 testable sub-hypotheses. 3. For each sub-hypothesis, identify what evidence would prove/disprove it. 4. Gather minimum viable evidence. 5. Update hypothesis based on findings. 6. Repeat until confidence is sufficient.",Prevents analysis paralysis; focuses effort on highest-value questions; naturally iterative,Requires discipline to update hypothesis honestly; initial framing bias possible,"Strategic Direction, Decision Under Uncertainty",High
Logic Tree Option Decomposition,decomposition,"logic tree, MECE, options, exhaustive, decompose, map, alternatives, mutually exclusive, collectively exhaustive",Use MECE logic trees to map ALL options and sub-options exhaustively. Ensures no alternatives are missed before evaluation begins.,Multi-option decisions where the full option space is unclear or risk of missing alternatives is high,"1. State the decision question clearly. 2. List top-level options (MECE). 3. For each option, decompose into sub-options. 4. Test completeness: are all possibilities covered? 5. Test exclusivity: do options overlap? 6. Prune obviously unviable branches. 7. Evaluate remaining options.",Guarantees completeness; visual and structured; prevents premature narrowing,Can be time-consuming for simple decisions; may generate too many options without clear prioritization,"Multi-Option Selection, Resource Allocation",Medium
Weighted Criteria Matrix,evaluation,"weighted, criteria, matrix, scoring, comparison, evaluation, weights, transparent, auditable, score","Define evaluation criteria, assign weights based on priorities, score each option 1-5 on each criterion, calculate weighted totals. Explicit, transparent, and auditable.",Multi-option decisions with clear evaluation criteria where transparency and traceability matter,1. List all options to evaluate. 2. Define 5-8 evaluation criteria. 3. Assign weights (must sum to 100). 4. Score each option 1-5 on each criterion. 5. Calculate weighted scores. 6. Compare totals and review sensitivity.,Transparent and auditable; reduces emotional bias; easy to communicate; supports group alignment,Requires agreement on criteria and weights upfront; can create false precision; garbage-in-garbage-out,"Multi-Option Selection, Group / Stakeholder Decision",Medium
Sensitivity Analysis Decision,stress-test,"sensitivity, assumptions, variables, uncertainty, flip, robustness, tornado, what-if",Test which assumptions or criteria changes would flip the decision. Identifies what matters most and what is noise. Reveals decision robustness.,Decisions where confidence in key inputs is uncertain and you need to know which assumptions actually matter,"1. Identify the current leading option. 2. List all key assumptions and inputs. 3. For each assumption, vary it across plausible range. 4. Record which variations change the decision. 5. Rank assumptions by decision impact. 6. Focus additional analysis only on decision-sensitive assumptions.",Reveals what actually drives the decision; prevents over-analysis of non-sensitive factors; builds confidence,Requires a quantifiable decision model; may miss interaction effects between variables,"Decision Under Uncertainty, Resource Allocation",High
Expected Value Calculation,evaluation,"expected value, probability, outcomes, rational, uncertainty, calculation, quantitative, EV","Assign probabilities to outcomes, multiply by value, sum for each option. The rational choice under uncertainty when outcomes and probabilities can be estimated.",Decisions with quantifiable outcomes and estimable probabilities where rational optimization is appropriate,1. List all possible outcomes for each option. 2. Estimate probability of each outcome. 3. Estimate value (monetary or utility) of each outcome. 4. Multiply probability x value for each. 5. Sum expected values per option. 6. Choose highest EV (adjusted for risk tolerance).,Mathematically rigorous; handles uncertainty explicitly; comparable across options,Requires probability and value estimates that may be unreliable; ignores risk preference; poor for one-shot decisions,"Resource Allocation, Decision Under Uncertainty",Medium
Scenario Planning Matrix,stress-test,"scenario, planning, uncertainty, futures, robustness, external, environment, strategic, ambiguity","Define 2-3 key external uncertainties, build 4-9 scenarios from combinations, evaluate each option across all scenarios. Identifies robust choices that perform well regardless of future.",Strategic decisions with high external uncertainty where the future environment is genuinely unknowable,1. Identify 2-3 key external uncertainties (not in your control). 2. Define 2-3 plausible values for each. 3. Build scenario matrix (combinations). 4. Name each scenario and describe it. 5. Evaluate each option under each scenario. 6. Select option that is robust across scenarios or identify hedging strategies.,Handles deep uncertainty; prevents overcommitment to single forecast; builds organizational preparedness,Can generate too many scenarios; subjective scenario selection; does not assign probabilities,"Strategic Direction, Decision Under Uncertainty",High
Pros-Cons-Fixes Analysis,evaluation,"pros, cons, fixes, advantages, disadvantages, mitigate, quick, simple, binary, tradeoff","List pros and cons for each option, then for each con ask 'can it be fixed or mitigated?' Transforms binary thinking into nuanced evaluation by exploring whether downsides are addressable.",Binary or few-option decisions needing quick assessment where a simple structured approach is sufficient,"1. List all pros for each option. 2. List all cons for each option. 3. For each con, ask: can this be fixed, mitigated, or is it permanent? 4. Mark fixable cons differently from permanent ones. 5. Re-evaluate: does the option look different once fixable cons are addressed? 6. Decide based on remaining permanent trade-offs.",Simple and fast; accessible to all stakeholders; reveals that many cons are solvable; reduces fear-based rejection,Not rigorous for complex multi-option decisions; no weighting mechanism; subjective assessment of fixability,"Binary Choice, Operational / Tactical",Low
Pre-Mortem Decision Test,stress-test,"pre-mortem, failure, risk, blind spots, stress test, retrospective, prospective hindsight, assume failure",Assume the decision has already failed catastrophically. Work backward to identify what went wrong. Surfaces blind spots and risks before committing.,High-stakes irreversible decisions where undetected risks could be catastrophic,"1. State the proposed decision clearly. 2. Imagine it is 12 months later and the decision failed spectacularly. 3. Each participant independently writes what went wrong. 4. Share and compile all failure modes. 5. Categorize by likelihood and severity. 6. For high-risk failure modes, develop mitigation plans or reconsider the decision.",Surfaces hidden risks; overcomes optimism bias; psychologically safe way to critique; works well in groups,Can be demoralizing if overused; may generate unlikely risks; requires honest participation,"Strategic Direction, Group / Stakeholder Decision",Low
Reversibility Filter,meta-framework,"reversibility, one-way door, two-way door, speed, iterate, meta, decision speed, reversible, irreversible","Classify the decision as a one-way door (irreversible, high stakes) or two-way door (reversible, can iterate). Two-way doors should be decided quickly; one-way doors deserve deep analysis.",Any decision — as the first step to determine how much analysis effort is warranted,"1. Ask: If this decision turns out wrong, can we reverse or significantly change it? 2. If YES (two-way door): decide quickly, set a review date, iterate. 3. If NO (one-way door): invest in thorough analysis, use other frameworks. 4. If PARTIALLY reversible: identify which aspects are reversible and which are not. 5. Apply proportional analytical effort.",Prevents over-analysis of reversible decisions; ensures proper investment in irreversible ones; meta-framework that improves decision speed,Oversimplifies — most decisions are partially reversible; binary classification may be too coarse,"Operational / Tactical, Time-Pressured Decision",Low
Iterative Hypothesis Testing,hypothesis-driven,"iterative, hypothesis, testing, bayesian, evidence, update, learn, experiment, minimum viable, data-poor","Start with your best guess, design a minimum viable test, update based on evidence, repeat. Bayesian approach that learns from small experiments before full commitment.","Data-poor environments where learning is possible before full commitment, and iteration is feasible",1. State initial hypothesis (best guess with current information). 2. Identify the cheapest way to test it (minimum viable experiment). 3. Define what evidence would confirm or refute. 4. Run the test. 5. Update hypothesis based on results (Bayesian update). 6. Repeat until confidence is sufficient or deadline requires decision.,Minimizes cost of learning; naturally self-correcting; works with incomplete data; reduces commitment risk,Requires ability to test before committing; slower for time-pressured decisions; may never reach full confidence,"Decision Under Uncertainty, Operational / Tactical",Medium
