No,Problem_Category,Recommended_Steps_Focus,Decomposition_Style,Analysis_Priority,Communication_Style,Key_Heuristics,Decision_Rules,Anti_Patterns,Severity
1,Business Performance,"Define precisely > Profitability tree > Pareto prioritize > Hypothesis-driven analysis","Profitability Tree + Process Flow",Benchmarking + Sensitivity Analysis + Root Cause Analysis,Pyramid Principle + Action-Oriented Titles,"First Principles; Pareto 80/20; Regression to Mean","{""if_revenue_problem"": ""decompose-price-x-volume"", ""if_cost_problem"": ""fixed-vs-variable-split"", ""if_margin_problem"": ""mix-analysis""}","Boiling the ocean with data; Not separating revenue vs cost; Treating all issues as equally important",HIGH
2,Market Entry Strategy,"Broad framing > Hypothesis tree > Scenario planning > Risk-adjusted evaluation","Hypothesis Tree + Market Segmentation + Scenario Framework",Market Sizing + Competitive Analysis + Scenario Planning + Cost-Benefit Analysis,SCR Narrative + One-Page Summary + Pre-Wire Stakeholders,"Second-Order Thinking; Opportunity Cost; Margin of Safety","{""if_high_uncertainty"": ""scenario-planning-first"", ""if_clear_market"": ""hypothesis-tree"", ""if_regulated"": ""stakeholder-analysis-critical""}","Confirmation bias toward entry; Ignoring competitive response; Single-scenario planning; Anchoring on optimistic market size",HIGH
3,Organizational Change,"Stakeholder mapping first > Systems map > Pilot before scale","Systems Map + Stakeholder Interest Decomposition + Process Flow",Stakeholder Analysis + Pre-Mortem + Benchmarking + Interview Research,Pre-Wire Stakeholders + SCR Narrative + Day 1 Answer,"Hanlons Razor; Leverage Points; Inversion","{""if_resistance_high"": ""stakeholder-coalition-first"", ""if_cultural"": ""systems-map-required"", ""if_structural"": ""process-decomposition""}","Top-down mandate without buy-in; Ignoring informal power structures; Big bang vs phased approach; Treating symptoms",HIGH
4,Product Development,"User-centered framing > Functional decomposition > MVP prioritization > Iterative testing","Customer Decision Journey + Functional Decomposition + MoSCoW Prioritization",User Research + A/B Testing + Competitive Analysis + Cost-Benefit Analysis,Grouping by Theme + Day 1 Answer + Data Storytelling,"First Principles; Circle of Competence; Occams Razor","{""if_new_category"": ""design-thinking-first"", ""if_incremental"": ""hypothesis-tree"", ""if_platform"": ""systems-map-ecosystem""}","Building without user research; Feature creep; Not testing MVP; Sunk cost on wrong features; Over-engineering v1",HIGH
5,Cost Reduction,"Process decomposition > Pareto analysis > Quick wins first > Sustainability planning","Process Flow + Profitability Tree (cost side) + Pareto Analysis",Benchmarking + Root Cause Analysis + Sensitivity Analysis + Regression Analysis,Pyramid Principle + Action-Oriented Titles + One-Page Summary,"Pareto 80/20; First Principles; Leverage Points","{""if_procurement"": ""benchmark-first"", ""if_operations"": ""process-flow-decomposition"", ""if_organizational"": ""activity-based-analysis""}","Across-the-board cuts; Cutting muscle not fat; Short-term focus damaging long-term capability; Not measuring savings accurately",MEDIUM
6,Innovation / Disruption,"First principles reframe > Multiple decompositions > Prototype fast > Iterate","Issue Tree (exploratory) + Systems Map + Scenario Framework",Analogical Reasoning + Expert Interview + Rapid Prototyping + A/B Testing,Day 1 Answer + SCR Narrative + Data Storytelling,"First Principles; Inversion; Second-Order Thinking; Map vs Territory","{""if_technology_driven"": ""feasibility-first"", ""if_market_driven"": ""customer-research-first"", ""if_business_model"": ""analogy-search-first""}","Incremental thinking on radical problems; Analysis paralysis; Not prototyping early; Ignoring adjacent industries; Falling in love with the solution",HIGH
7,Crisis / Turnaround,"Rapid diagnostic > Triage > Cash-first > Stabilize then transform","Profitability Tree + Process Flow + Eisenhower Matrix (urgent-important)",Root Cause Analysis + Sensitivity Analysis + Stakeholder Analysis,BLUF + One-Page Summary + Pyramid Principle,"Inversion; Margin of Safety; Pareto 80/20; Leverage Points","{""if_cash_crisis"": ""cash-flow-decomposition-immediate"", ""if_operational"": ""bottleneck-identification"", ""if_strategic"": ""competitive-position-assessment""}","Trying to fix everything at once; Not triaging by urgency; Losing key people during crisis; Analysis paralysis when speed is critical",CRITICAL
8,Data / Analytics Problem,"Clear question first > Variable decomposition > Statistical rigor > So-what synthesis","Issue Tree + Variable Decomposition + Hypothesis Tree",Regression Analysis + A/B Testing + Monte Carlo Simulation + Benchmarking,Data Storytelling + Pyramid Principle + Appendix Strategy,"Occams Razor; Regression to Mean; Map vs Territory; Bayesian Updating","{""if_prediction"": ""multiple-model-ensemble"", ""if_causal"": ""experiment-design"", ""if_descriptive"": ""visualization-first""}","Correlation as causation; P-hacking; Overfitting; Not visualizing data; Missing the 'so what'; Survivorship bias",MEDIUM
9,Partnership / M&A,"Synergy hypothesis > Due diligence decomposition > Risk-adjusted valuation","Hypothesis Tree + Stakeholder Interest Decomposition + Scenario Framework",Cost-Benefit Analysis + Expert Interview + Benchmarking + Pre-Mortem Analysis,SCR Narrative + Pre-Wire Stakeholders + One-Page Summary,"Opportunity Cost; Inversion; Margin of Safety; Second-Order Thinking","{""if_strategic_fit"": ""synergy-decomposition"", ""if_financial"": ""dcf-plus-scenarios"", ""if_cultural"": ""integration-risk-assessment""}","Winner's curse (overpaying); Overestimating synergies; Ignoring integration costs; Confirmation bias toward deal closure; Not planning integration before close",HIGH
10,Policy / Public Sector,"Multi-stakeholder framing > Systems map > Equity analysis > Pilot before scale","Systems Map + Stakeholder Interest Decomposition + Scenario Framework",Stakeholder Analysis + Cost-Benefit Analysis + Benchmarking + Scenario Planning,SCR Narrative + Pre-Wire Stakeholders + Data Storytelling,"Second-Order Thinking; Hanlons Razor; Leverage Points; Map vs Territory","{""if_regulatory"": ""legal-framework-first"", ""if_service_delivery"": ""process-flow"", ""if_equity"": ""stakeholder-impact-assessment""}","One-size-fits-all solutions; Ignoring implementation complexity; Political calculation over evidence; Short election cycle thinking; Not piloting",HIGH
