No,Pattern,Category,Keywords,Description,When to Use,How to Facilitate,Signs of Dysfunction,Remedy,Team Size
1,Diverse Team Composition,Formation,"diversity, cross-functional, perspective, skill-mix, cognitive-diversity, inclusion","Assemble teams with diverse backgrounds, expertise, and thinking styles. Cognitive diversity produces better problem decomposition and more creative solutions.","All complex problem-solving efforts; When the problem spans multiple domains; Innovation challenges; When prior teams have produced groupthink; Strategic initiatives","Identify required expertise domains; Include both specialists and generalists; Mix analytical and creative thinkers; Include people who will challenge assumptions; Ensure psychological safety for all voices","Everyone agrees too quickly; Same solutions keep being proposed; Team lacks expertise in key areas; One perspective dominates; Minority voices go quiet","Add external perspectives; Rotate team members; Bring in a provocateur; Use structured techniques (brainwriting) that ensure equal input; Assess cognitive diversity explicitly","5-8 for core problem solving"
2,Red Team / Devils Advocate,Challenge,"red-team, challenge, counter-argument, devils-advocate, adversarial, stress-test","Assign a dedicated person or sub-team to attack the prevailing recommendation. Their job is to find flaws, present counterarguments, and stress-test assumptions.","Before finalizing recommendations; When stakes are high; When team is converging too quickly; When dealing with irreversible decisions; Strategy reviews; Risk assessment","Formally assign the role (not volunteer); Rotate the role to prevent burnout; Protect the red team from social punishment; Give them access to all data; Present red team findings formally","Team resents the red teamer; Red team is token/toothless; Leadership dismisses challenges; Red team attacks people not ideas; No formal process for incorporating red team feedback","Make it a valued formal role; Leadership must model openness to challenge; Red team reports to decision maker directly; Celebrate good challenges; Follow up on red team findings",Minimum 1 dedicated red teamer
3,Structured Brainstorming,Ideation,"brainstorm, ideation, creative, divergent, brainwriting, nominal-group, silent","Use structured techniques to generate ideas without social dynamics killing creativity. Silent individual generation before group discussion produces more and better ideas.","Decomposition phase; Solution generation; Creative problem solving; When team needs fresh ideas; When extroverts dominate; When hierarchy suppresses junior voices","Silent individual idea generation (5-10 min); Share ideas anonymously or round-robin; Build on others ideas; Defer judgment during generation; Separate divergent (generate) from convergent (evaluate) phases","Loudest person dominates; Ideas are criticized immediately; Hierarchy determines whose ideas survive; Same ideas keep appearing; Introverts dont contribute","Always start with silent individual generation; Use anonymous posting; Enforce no-criticism during brainstorming; Use round-robin sharing; Give equal time to each person","4-8 for brainstorming sessions"
4,Working Session Design,Process,"workshop, session, facilitation, agenda, timeboxing, structure, meeting-design","Design working sessions with clear structure: pre-work, timed activities, and concrete outputs. Prevent meetings from being discussions without decisions.","Every team working session; When you need to produce output not just discuss; Sprint planning; Analysis reviews; Synthesis workshops; Decision meetings","Define desired output before the meeting; Send pre-read materials; Design timed activities; Assign a facilitator (not the decision maker); End with decisions and action items; Document outcomes immediately","Meetings run over time; No clear output; Same discussion repeats; People come unprepared; No decisions made; Action items unclear","Strict timeboxing; Mandatory pre-read; Clear facilitator role; Written output required; Parking lot for off-topic items; Action items with owners and dates before leaving","4-8 per working session"
5,Hypothesis-Driven Teamwork,Process,"hypothesis, test, validate, iterate, evidence-based, update, sprint","Team operates in hypothesis-test-update cycles. Start each sprint with a hypothesis about the answer. Design analyses to test it. Update based on evidence. Prevents aimless research.","Throughout the problem-solving process; After initial decomposition; During analysis phase; Weekly team syncs; When team needs focus and direction","State team hypothesis explicitly at start of each cycle; Assign analyses to test specific parts; Daily/weekly check-ins: what did we learn? Does hypothesis still hold? What should we test next?; Track confidence level over time","Team is gathering data without clear purpose; Analyses dont connect to hypotheses; Team is afraid to state a hypothesis; No one updates the hypothesis when evidence changes; Data collection becomes an end in itself","Force a Day 1 answer; Write down the hypothesis visibly; Link every analysis to the hypothesis directly; Track and display confidence level; Celebrate hypothesis changes as learning not failure","3-8 for hypothesis-driven work"
6,Workplan Discipline,Process,"workplan, timeline, accountability, tracking, milestone, deadline, progress","Maintain a living workplan that maps analyses to issues, assigns ownership, sets deadlines, and tracks progress. The workplan is the teams navigation system.","After prioritization; Throughout analysis phase; When managing multiple parallel analyses; When team members work independently; To prevent scope creep","Create workplan matrix: Issue > Hypothesis > Analysis > Data > Owner > Deadline > Status; Review in every team meeting; Update as priorities shift; Ensure no analysis is orphaned (no owner) or aimless (no hypothesis)","Analyses are disconnected from issues; No one knows who is doing what; Deadlines slip without discussion; New analyses appear without rationale; Team meeting is just status update not problem solving","Visualize the workplan (shared board/doc); Start every meeting with workplan review; Require new analyses to be justified against an issue; Weekly priority re-ranking; Kill stale analyses explicitly","Any team size"
7,Constructive Conflict,Culture,"conflict, debate, productive-disagreement, psychological-safety, candor, challenge","Encourage vigorous debate about ideas while maintaining respect for people. The best teams fight hard about ideas and leave the room as allies.","All team discussions; Decision meetings; Analysis reviews; When disagreement is present (channeling it productively); When team is too harmonious (may be suppressing dissent)","Establish ground rules: attack ideas not people; Ask for counterarguments explicitly; Reward disagreement and challenge; Leader speaks last; Use structured debate format when topics are contentious","Personal attacks; Avoidance of disagreement; Behind-the-scenes lobbying; Same people always winning debates; Disagreement leads to lasting resentment","Set explicit norms; Practice separating person from position; Use 'steel man' (strengthen the opposing argument before countering); Leader models vulnerability; Process disagreements formally","Any team"
8,Progress Sharing (Frequent Checkpoints),Communication,"checkpoint, demo, share, feedback, iteration, early, course-correct","Share work-in-progress frequently rather than waiting for perfection. Early sharing catches wrong directions, surfaces new insights, and maintains team alignment.","Throughout analysis phase; When team members work independently; When the problem is evolving; When stakeholder expectations need managing; When direction uncertainty is high","Daily or bi-daily quick syncs; Weekly deeper reviews; Share analysis drafts not polished outputs; Invite constructive criticism early; Use 'one-minute paper' format: what I found, what it means, what I need","Work is shared only when 'done'; Team members are surprised by each others findings; Direction diverges between sub-teams; Late-stage rework because of missed context; Stakeholders learn results only at the end","Lower the bar for sharing; Celebrate early ugly drafts; Use visual progress boards; Structure quick syncs (2 min per person max); Create safe space for incomplete thinking","Any team"
9,Psychological Safety,Culture,"safety, trust, vulnerability, risk-taking, learning, mistakes-ok, speak-up","Team members feel safe to take risks, admit mistakes, ask questions, and challenge ideas without fear of punishment or embarrassment. Foundation for all effective team problem solving.","Must be established from the start; Essential for all other team patterns; Especially important for diverse teams; When tackling novel problems; When failure is possible and learning is critical","Leader demonstrates vulnerability first; Respond positively to questions and challenges; Treat mistakes as learning; Avoid blame; Explicitly invite disagreement; Follow through when someone raises a concern","People stay silent in meetings but complain afterward; No one asks questions; Mistakes are hidden; Ideas come only from senior people; Team avoids difficult topics; People hedge everything","Leader admits own mistakes publicly; Thank people for raising concerns; Act on feedback; Remove people who punish others for speaking up; Run anonymous feedback sessions; Measure and track psychological safety","Any team"
10,Problem Owner Rotation,Learning,"rotation, ownership, development, learning, fresh-eyes, cross-training","Rotate who leads different parts of the analysis. Fresh eyes catch blind spots. Cross-training builds team capability. Prevents silos and key-person dependencies.","Multi-week problem-solving efforts; When one person has been stuck; Team development; When you want to build bench strength; When analysis has stalled","Assign different issue owners for different phases; Have owners present each others findings; Pair junior and senior on complex analyses; Rotate facilitation role; Debrief each rotation for learning","Same person always leads; Team has single points of failure; Junior members never present; Owners become territorial; Knowledge is siloed in individuals","Formal rotation schedule; Paired ownership model; Mandatory handoff documentation; Growth objectives tied to rotation; Celebrate cross-functional learning","4+ team members"
